model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
IAMs,World,SSP1-1.9,GtCO2 / yr,Emissions|CO2,39.1527262983861,39.6937264516874,22.8472709173938,10.4750888193786,2.05036155775863,-1.52597831742005,-4.47697014942135,-7.30878257887009,-10.5650228295996,-13.8897875467543
IAMs,World,SSP1-2.6,GtCO2 / yr,Emissions|CO2,39.1527262983861,39.8040134329135,34.7344236538734,26.509182688349,17.9635391054858,10.527978660351,4.47632832268894,-3.28504327111751,-8.38518296529048,-8.61778621970578
IAMs,World,SSP2-4.5,GtCO2 / yr,Emissions|CO2,39.1527262983861,40.6475298965056,43.4760625524666,44.2529000312976,43.4621900425296,40.1964848294856,35.23543373202,26.8383734455749,16.3243915616794,9.68285879405513
IAMs,World,SSP3-7.0,GtCO2 / yr,Emissions|CO2,39.1527262983861,44.8080382241732,52.8473593168546,58.4979698277256,62.9040586222294,66.5683676152515,70.0419785674313,73.4052259212681,77.7990494212681,82.7258331212681
IAMs,World,SSP5-8.5,GtCO2 / yr,Emissions|CO2,39.1527262983861,43.712348564522,55.2965832256573,68.7756982044147,83.2982199421343,100.338606181868,116.805249302523,129.647035019421,130.576238819421,126.287309719421
IAMs,World,SSP1-1.9,MtN2O / yr,Emissions|N2O,10.9,10.7063848251701,8.39375909093475,8.37657366407661,8.07358519737887,7.94161176480449,7.95815173403822,7.97892396545785,8.20473625613288,8.33907191457839
IAMs,World,SSP1-2.6,MtN2O / yr,Emissions|N2O,10.9,10.2844653069932,8.91122212070995,8.21596605947126,7.9412286244972,7.82467318107389,7.82480080076439,8.02550132314605,8.54429373371885,8.35701750609135
IAMs,World,SSP2-4.5,MtN2O / yr,Emissions|N2O,10.9,11.3228528268346,12.2087512328918,12.6237673811865,12.5869391753868,12.2185690265798,11.5457193059936,10.3626363232992,9.52475981684137,8.7323344434787
IAMs,World,SSP3-7.0,MtN2O / yr,Emissions|N2O,10.9,11.7749299153649,13.2918051769423,14.5266102988607,15.6349116638214,16.6379554544021,17.6243012933096,18.581107,19.6267587,20.6540842
IAMs,World,SSP5-8.5,MtN2O / yr,Emissions|N2O,10.9,11.7326718285475,12.6467650935487,13.37985962854,13.1712714869241,13.4364860206943,13.4341378816514,13.4883164,13.2239784,12.7250119
IAMs,World,SSP1-1.9,MtCH4 / yr,Emissions|CH4,388.072795663321,358.907754704624,243.027020440337,200.612861931378,170.196861886999,157.558897231786,146.459703505756,132.247397297608,120.764306098986,111.721246089592
IAMs,World,SSP1-2.6,MtCH4 / yr,Emissions|CH4,388.072795663321,347.49096804304,285.852108554515,242.790147758616,211.108799575225,190.891541336658,166.436311844769,139.312168422122,130.129686253669,122.195342902874
IAMs,World,SSP2-4.5,MtCH4 / yr,Emissions|CH4,388.072795663321,388.090572662264,399.446245067783,382.796746230234,357.166938784911,329.321436368543,316.63903967876,302.907283507566,298.816324015873,295.152936610007
IAMs,World,SSP3-7.0,MtCH4 / yr,Emissions|CH4,388.072795663321,418.454211983515,471.330793451007,515.545705002188,558.974274240731,602.31852926391,647.129405500316,693.382453027711,735.323192603251,777.732192287466
IAMs,World,SSP5-8.5,MtCH4 / yr,Emissions|CH4,388.072795663322,397.464394299078,454.467560029185,542.29273707973,590.297639508796,597.910178870416,597.128413114236,568.979040417831,513.330816601276,482.145484923179
IAMs,World,SSP1-1.9,MtSO2 / yr,Emissions|Sulfur,100.771166980646,79.5491573123891,36.4559021444693,23.6225991234323,21.6283722520375,20.6699510898896,18.4063756285871,15.5041315285452,12.6219685092827,9.46140873326079
IAMs,World,SSP1-2.6,MtSO2 / yr,Emissions|Sulfur,100.771166980646,80.1316002818539,51.7369359728971,35.0821621354877,26.7306061196927,22.0402855534684,17.7482462915824,13.2609659898853,10.3030567626407,8.07034770898434
IAMs,World,SSP2-4.5,MtSO2 / yr,Emissions|Sulfur,100.771166980646,80.0811064029808,78.9334724967046,66.5011635350549,53.298937497282,46.001756598513,41.9145059358346,38.5057927600297,33.1608727818084,30.8223938974121
IAMs,World,SSP3-7.0,MtSO2 / yr,Emissions|Sulfur,100.771166980646,98.6021579750333,99.2215570254239,99.5709158344282,99.7778506648981,95.8828959860606,91.8551654146475,87.4031537602506,83.6162291403839,78.1473781638151
IAMs,World,SSP5-8.5,MtSO2 / yr,Emissions|Sulfur,100.771166980646,80.1508129012352,71.5094897649416,71.4739801497555,60.4420479955465,63.8657702595733,61.3975924217071,53.2935330504803,41.9350407533419,29.5147382926394
